wbf,species,temperature,context
565.38,5,20.2,1
501.14,3,24,1
551.25,5,21.1,1
580.26,5,19.9,1
355.65,5,21.3,1
648.53,5,23.7,1
648.53,5,23.5,1
432.35,1,22.8,1
580.26,5,20.6,1
565.38,5,20.7,1
551.25,1,24.2,1
490,5,18.7,1
380.17,5,21.2,1
361.48,5,22,1
595.95,5,20.2,1
339.23,5,22.5,1
459.38,1,21.7,1
450,5,19.9,1
595.95,5,20.5,1
361.48,5,22.5,1
551.25,5,18.5,1
735,2,24.5,1
595.95,5,22,1
367.5,5,20,1
537.8,5,20.2,1
565.38,5,20.5,1
612.5,5,21,1
595.95,5,23.6,1
450,1,21.6,1
630,2,24.5,1
689.06,5,23.3,1
689.06,5,23.3,1
689.06,2,21.9,1
469.15,3,24.3,1
668.18,5,23.6,1
595.95,5,20.7,1
380.17,5,21.7,1
711.29,2,22.3,1
490,3,23.9,1
612.5,5,21.4,1
525,5,18.5,1
595.95,5,21.1,1
595.95,5,20.1,1
450,3,20.4,1
648.53,5,21.4,1
373.73,5,23.5,1
400.91,5,20.2,1
459.38,3,22.9,1
630,5,23.6,1
565.38,2,22.3,1
441,3,20.6,1
612.5,5,21.6,1
630,5,21.6,1
580.26,5,20.8,1
350,5,22,1
525,3,23.6,1
408.33,3,22,1
479.35,1,24.6,1
648.53,5,23.2,1
612.5,5,21.1,1
565.38,5,21.7,1
630,5,23.8,1
424.04,1,22.5,1
380.17,5,22.4,1
612.5,5,20.6,1
329.1,5,24,1
612.5,5,20.5,1
361.48,5,21.1,1
668.18,5,22.1,1
580.26,5,20.1,1
580.26,5,21.1,1
711.29,2,21.2,1
595.95,5,23.7,1
689.06,2,22.3,1
735,2,21.9,1
630,5,21.2,1
668.18,4,21.4,1
668.18,2,22.5,1
355.65,5,19.9,1
580.26,5,20.7,1
329.1,5,21.5,1
525,5,20.6,1
648.53,5,23.7,1
469.15,1,23.4,1
565.38,5,21.8,1
501.14,3,23.4,1
479.35,3,24.6,1
648.53,5,22.1,1
393.75,5,21.3,1
355.65,5,21.2,1
459.38,3,24.2,1
479.35,3,21.9,1
361.48,5,20.6,1
595.95,5,21.1,1
565.38,5,21.1,1
595.95,5,22.2,1
580.26,5,20.6,1
612.5,5,23,1
648.53,5,23.7,1
450,3,21.7,1
551.25,5,18.4,1
595.95,5,21.2,1
689.06,4,22.6,1
648.53,5,23.7,1
612.5,5,23.6,1
612.5,5,21.1,1
408.33,5,22.7,1
630,5,22.3,1
595.95,2,21.1,1
525,5,20.6,1
373.73,5,23.7,1
344.53,5,21.1,1
760.34,2,23.4,1
580.26,5,20.2,1
565.38,5,20.7,1
612.5,5,23.5,1
501.14,3,22.6,1
648.53,5,23.9,1
355.65,5,21.1,1
612.5,5,23.8,1
595.95,5,22.5,1
565.38,5,21.1,1
648.53,5,23.7,1
537.8,1,21.3,1
537.8,5,18.8,1
735,2,24.3,1
630,5,21.7,1
648.53,5,21.2,1
630,5,21.9,1
711.29,5,23.1,1
760.34,2,23.8,1
424.04,3,20.6,1
612.5,5,20.3,1
459.38,3,22.5,1
612.5,5,23.7,1
459.38,3,22.7,1
424.04,5,19.8,1
367.5,5,20.2,1
441,1,18.8,1
459.38,3,24,1
668.18,5,23.3,1
551.25,5,20.2,1
408.33,3,19.6,1
393.75,5,23.9,1
490,3,23.5,1
551.25,5,20.3,1
479.35,3,23.2,1
512.79,5,18.3,1
595.95,5,20.5,1
344.53,5,18.7,1
416.04,5,22.3,1
469.15,3,22.5,1
630,5,23.6,1
551.25,5,20.8,1
565.38,5,20.5,1
648.53,5,21.7,1
595.95,5,20,1
459.38,3,22.6,1
361.48,5,24,1
612.5,2,21.2,1
416.04,3,21.7,1
551.25,5,20,1
648.53,5,24,1
595.95,5,20.6,1
373.73,5,22.3,1
630,5,21.2,1
580.26,5,21.1,1
386.84,5,22.9,1
479.35,1,22.4,1
565.38,5,20.2,1
416.04,3,21,1
329.1,5,21.5,1
525,1,23.5,1
648.53,5,20,1
450,3,22.6,1
380.17,5,24.5,1
386.84,5,20.8,1
630,5,20.6,1
501.14,1,20.5,1
648.53,5,24,1
551.25,5,20.7,1
595.95,5,20.5,1
630,5,24.1,1
432.35,1,21.6,1
630,5,21.1,1
344.53,5,18.6,1
648.53,5,23.6,1
580.26,5,20.2,1
565.38,5,20.6,1
361.48,5,19.9,1
479.35,3,24.8,1
361.48,5,24.4,1
565.38,5,20.6,1
565.38,5,18.5,1
689.06,5,24,1
512.79,5,18.5,1
595.95,5,20.1,1
490,3,24.6,1
551.25,5,18.5,1
580.26,5,20.8,1
630,5,23.6,1
469.15,3,22,1
355.65,5,24.1,1
689.06,2,22.2,1
612.5,5,22,1
450,3,22.7,1
735,2,23.4,1
580.26,1,23.2,1
648.53,2,22,1
565.38,5,20.6,1
501.14,1,21.5,1
565.38,5,20.3,1
580.26,5,20.8,1
367.5,5,21.9,1
319.57,5,18.3,1
393.75,5,23,1
612.5,5,20.2,1
361.48,5,23.7,1
459.38,2,22.1,1
459.38,3,22.5,1
595.95,5,19.9,1
551.25,5,20.5,1
630,5,20.2,1
525,5,18.4,1
350,5,20.5,1
565.38,5,20.7,1
501.14,5,18.6,1
350,5,21,1
612.5,5,20.6,1
760.34,2,23.6,1
595.95,5,21.8,1
525,3,23.9,1
479.35,3,22.5,1
595.95,5,21.1,1
711.29,2,20.7,1
469.15,1,20.1,1
612.5,5,20.5,1
612.5,5,21.7,1
630,5,21.3,1
551.25,5,20.7,1
648.53,5,23.6,1
339.23,5,19.8,1
668.18,5,23.6,1
648.53,2,21.3,1
355.65,5,18.6,1
630,5,22.3,1
344.53,5,21.2,1
459.38,3,24.6,1
361.48,5,22.2,1
630,5,21.7,1
344.53,5,21.5,1
373.73,5,20.2,1
551.25,5,20.8,1
537.8,5,19.6,1
648.53,5,23.8,1
339.23,5,22.5,1
612.5,5,20.4,1
459.38,3,22.5,1
380.17,5,21,1
373.73,5,23.8,1
668.18,5,23.6,1
441,3,22.1,1
537.8,5,20.2,1
334.09,5,20.7,1
565.38,5,20.7,1
380.17,5,22.4,1
711.29,2,24.1,1
648.53,5,24,1
367.5,5,21.6,1
400.91,5,20.2,1
393.75,5,20.7,1
668.18,5,23.6,1
334.09,5,20.7,1
512.79,5,18.9,1
512.79,3,23.5,1
630,5,21.1,1
689.06,2,21.1,1
648.53,5,21.6,1
630,5,20.2,1
408.33,3,22.9,1
373.73,5,19.9,1
612.5,5,23.7,1
501.14,5,20.3,1
551.25,5,20.5,1
630,5,21.1,1
441,1,21.2,1
450,3,23,1
565.38,5,20.3,1
612.5,5,20.3,1
648.53,5,23.7,1
612.5,5,20.6,1
416.04,5,21.3,1
408.33,3,22,1
551.25,1,24.5,1
760.34,4,22.9,1
355.65,5,21.7,1
648.53,5,21.6,1
551.25,5,21.1,1
432.35,5,20.1,1
380.17,5,22.1,1
595.95,5,19.9,1
630,5,20.1,1
386.84,5,22.6,1
580.26,5,18.4,1
612.5,5,20.2,1
735,4,24.3,1
595.95,5,20.1,1
735,2,24.2,1
595.95,5,23.7,1
648.53,5,21.7,1
595.95,5,23.6,1
668.18,2,24.2,1
355.65,5,21.8,1
525,5,18.6,1
648.53,5,23.3,1
479.35,3,22.8,1
459.38,3,22.5,1
450,3,21.7,1
648.53,5,21.6,1
580.26,5,21.1,1
648.53,5,20,1
350,5,18.9,1
580.26,5,20.3,1
612.5,5,21.2,1
648.53,5,23.7,1
551.25,5,18.5,1
580.26,5,21.1,1
668.18,5,23.1,1
450,3,22.9,1
432.35,3,20.9,1
630,5,23.8,1
459.38,5,21.5,1
595.95,5,20.1,1
324.26,5,20.7,1
512.79,1,24.5,1
595.95,5,20.6,1
595.95,5,20.1,1
612.5,5,20.1,1
361.48,5,21.8,1
612.5,5,20.5,1
537.8,5,20.7,1
551.25,5,20.2,1
